Rank,Video Name,Worldwide,Domestic,Outside US
1,Barbie,"$1,441,820,453","$636,220,453","$805,600,000"
2,The Super Mario Bros. Movie,"$1,361,365,341","$574,934,330","$786,431,011"
3,Oppenheimer,"$952,010,450","$326,076,450","$625,934,000"
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815","$486,559,962"
5,Fast X,"$704,875,015","$146,126,015","$558,749,000"
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319","$309,205,354"
7,The Little Mermaid,"$569,626,289","$298,172,056","$271,454,233"
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383","$395,400,000"
9,Elemental,"$496,176,105","$154,426,697","$341,749,408"
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909","$261,566,271"
11,John Wick: Chapter 4,"$440,146,694","$187,131,806","$253,014,888"
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392","$281,900,000"
13,Meg 2: The Trench,"$395,000,317","$82,600,317","$312,400,000"
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468","$209,482,589"
15,The Hunger Games: The Ballad of Songbirds & Snakes,"$299,736,114","$146,173,590","$153,562,524"
16,Five Nights at Freddy's,"$289,361,620","$137,275,620","$152,086,000"
17,Creed III,"$275,248,615","$156,248,615","$119,000,000"
18,The Flash,"$270,633,313","$108,133,313","$162,500,000"
19,The Nun II,"$268,067,073","$86,267,073","$181,800,000"
20,Taylor Swift: The Eras Tour,"$250,134,343","$179,444,207","$70,690,136"
